[27/May/2020 00:42:19] DEBUG [django.db.backends:88] (0.002) 
            SELECT c.relname, c.relkind
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid); args=None
[27/May/2020 00:42:19] DEBUG [django.db.backends:88] (0.001) SELECT "django_migrations"."app", "django_migrations"."name" FROM "django_migrations"; args=()
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.003) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location"; args=()
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.003) SELECT "gallery_image"."id", "gallery_image"."name", "gallery_image"."pic", "gallery_image"."picture", "gallery_image"."description", "gallery_image"."image_location_id", "gallery_image"."image_category_id" FROM "gallery_image" ORDER BY "gallery_image"."name" ASC; args=()
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 4; args=(4,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 3; args=(3,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 1; args=(1,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 2; args=(2,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 3; args=(3,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 4; args=(4,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 4; args=(4,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 3; args=(3,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 3; args=(3,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 1; args=(1,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 5; args=(5,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 3; args=(3,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 4; args=(4,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 2; args=(2,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 1; args=(1,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 4; args=(4,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 1; args=(1,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 1; args=(1,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 1; args=(1,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 1; args=(1,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 5; args=(5,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 4; args=(4,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_category"."id", "gallery_category"."name" FROM "gallery_category" WHERE "gallery_category"."id" = 2; args=(2,)
[27/May/2020 00:42:57] DEBUG [django.db.backends:88] (0.001) SELECT "gallery_location"."id", "gallery_location"."name" FROM "gallery_location" WHERE "gallery_location"."id" = 2; args=(2,)
